x,y,z,energy
19.523791,20.000000,-6433.000429,1380.000319
19.521085,20.000000,-6432.000433,1380.000319
19.518371,20.000000,-6431.000436,1380.000319
19.515650,20.000000,-6430.000440,1380.000319
19.512922,20.000000,-6429.000444,1380.000319
19.510185,20.000000,-6428.000447,1380.000319
19.507441,20.000000,-6427.000451,1380.000319
19.504689,20.000000,-6426.000455,1380.000319
19.501930,20.000000,-6425.000459,1380.000319
19.499163,20.000000,-6424.000463,1380.000319
19.496388,20.000000,-6423.000466,1380.000319
19.493606,20.000000,-6422.000470,1380.000319
19.490816,20.000000,-6421.000474,1380.000319
19.488018,20.000000,-6420.000478,1380.000319
19.485213,20.000000,-6419.000482,1380.000319
19.482400,20.000000,-6418.000486,1380.000319
19.479579,20.000000,-6417.000490,1380.000319
19.476751,20.000000,-6416.000494,1380.000319
19.473915,20.000000,-6415.000498,1380.000319
19.471071,20.000000,-6414.000502,1380.000319
19.468220,20.000000,-6413.000506,1380.000319
19.465360,20.000000,-6412.000510,1380.000319
19.462494,20.000000,-6411.000514,1380.000319
19.459619,20.000000,-6410.000518,1380.000319
19.456737,20.000000,-6409.000523,1380.000319
19.453848,20.000000,-6408.000527,1380.000319
19.450950,20.000000,-6407.000531,1380.000319
19.448045,20.000000,-6406.000535,1380.000319
19.445133,20.000000,-6405.000539,1380.000319
19.442212,20.000000,-6404.000544,1380.000319
19.439284,20.000000,-6403.000548,1380.000319
19.436349,20.000000,-6402.000552,1380.000319
19.433405,20.000000,-6401.000557,1380.000319
19.430454,20.000000,-6400.000561,1380.000319
19.427496,20.000000,-6399.000565,1380.000319
19.424529,20.000000,-6398.000570,1380.000319
19.421555,20.000000,-6397.000574,1380.000319
19.418574,20.000000,-6396.000579,1380.000319
19.415584,20.000000,-6395.000583,1380.000319
