x,z
-553.991145,-6814.351303
-554.291451,-6815.305146
-554.588393,-6816.260041
-554.881966,-6817.215977
-555.172166,-6818.172942
-555.458991,-6819.130925
-555.742436,-6820.089913
-556.022498,-6821.049894
-556.299174,-6822.010857
-556.572459,-6822.972789
-556.842352,-6823.935679
-557.108847,-6824.899515
-557.371943,-6825.864284
-557.631635,-6826.829975
-557.887920,-6827.796576
-558.140796,-6828.764074
-558.390259,-6829.732457
-558.636307,-6830.701715
-558.878935,-6831.671834
-559.118141,-6832.642802
-559.353922,-6833.614608
-559.586275,-6834.587239
-559.815197,-6835.560683
-560.040686,-6836.534928
-560.262738,-6837.509962
-560.481351,-6838.485773
-560.696522,-6839.462349
-560.908248,-6840.439678
-561.116527,-6841.417747
-561.321357,-6842.396544
-561.522733,-6843.376057
-561.720655,-6844.356274
-561.915120,-6845.337183
-562.106125,-6846.318772
-562.293667,-6847.301028
-562.477745,-6848.283939
-562.658357,-6849.267493
-562.835499,-6850.251678
-563.009170,-6851.236481
-563.179368,-6852.221890
-563.346090,-6853.207894
-563.509335,-6854.194479
-563.669100,-6855.181633
-563.825384,-6856.169345
-563.978184,-6857.157602
-564.127498,-6858.146391
-564.273325,-6859.135700
-564.415664,-6860.125518
-564.554511,-6861.115831
-564.689866,-6862.106628
-564.821726,-6863.097896
-564.950091,-6864.089622
-565.074958,-6865.081795
-565.196325,-6866.074402
-565.314193,-6867.067431
-565.428558,-6868.060869
-565.539420,-6869.054705
-565.646777,-6870.048925
-565.750628,-6871.043517
-565.850972,-6872.038469
-565.947806,-6873.033769
-566.041131,-6874.029405
-566.130945,-6875.025363
-566.217246,-6876.021631
-566.300035,-6877.018198
-566.379309,-6878.015050
-566.455067,-6879.012176
-566.527310,-6880.009562
-566.596035,-6881.007197
-566.661243,-6882.005069
-566.722931,-6883.003164
-566.781100,-6884.001470
-566.835749,-6884.999975
-566.886877,-6885.998667
-566.934483,-6886.997532
-566.978567,-6887.996559
-567.019129,-6888.995736
-567.056167,-6889.995049
-567.089681,-6890.994487
